mood,acousticness,danceability,energy,instrumentalness,key,mode,tempo,valence
neutral,0.0885,0.692,0.539,0.664,5,1,121.985,0.0725
neutral,0.0148,0.702,0.669,0.697,1,0,134.973,0.353
neutral,0.608,0.593,0.435,0.0118,4,0,124.093,0.0827
neutral,0.167,0.494,0.583,0.302,10,0,196.018,0.176
neutral,0.815,0.601,0.499,0.712,6,1,96.981,0.531
neutral,0.579,0.658,0.511,0,7,0,109.988,0.327
neutral,0.285,0.744,0.691,0.000832,9,1,124.029,0.458
neutral,0.268,0.639,0.571,0.603,2,1,118.043,0.073
neutral,0.662,0.744,0.769,0.956,2,1,114.984,0.11
neutral,0.467,0.474,0.726,0.0452,10,1,129.941,0.214
neutral,0.337,0.71,0.575,0.401,8,1,120.051,0.0765
neutral,0.0781,0.514,0.593,0.775,9,1,112.018,0.353
neutral,0.225,0.643,0.824,0.0317,7,0,120.013,0.0752
neutral,0.369,0.861,0.602,0.0644,2,0,114.978,0.684
neutral,0.303,0.742,0.461,0.0173,0,1,120.034,0.118
neutral,0.505,0.641,0.853,0.735,6,1,115.037,0.0366
neutral,0.204,0.742,0.575,0.0704,6,0,119.033,0.371
neutral,0.213,0.683,0.652,5.89e-05,10,1,89.987,0.408
neutral,0.428,0.61,0.554,0.000322,2,0,106.818,0.231
neutral,0.761,0.67,0.391,0.0147,10,1,115.018,0.32
neutral,0.608,0.534,0.65,0.361,6,0,119.992,0.0616
neutral,0.552,0.61,0.682,0.503,4,1,121.861,0.0344
neutral,0.893,0.685,0.343,0.511,10,0,117.856,0.139
neutral,0.522,0.624,0.456,0.279,5,1,110.034,0.17
neutral,0.786,0.792,0.682,0.00824,4,1,126.139,0.253
neutral,0.0157,0.574,0.594,0.675,0,1,105.005,0.175
neutral,0.16,0.682,0.75,0.856,7,0,129.963,0.469
neutral,0.528,0.757,0.405,0.126,10,1,124.014,0.0537
neutral,0.595,0.772,0.745,0.87,11,1,116.014,0.166
neutral,0.189,0.652,0.739,0.00467,6,0,114.967,0.0357
neutral,0.287,0.497,0.556,0.00865,0,0,102.981,0.109
neutral,0.116,0.647,0.714,0.0109,2,1,114.968,0.209
neutral,0.386,0.716,0.354,1.76e-06,6,1,115.939,0.0881
neutral,0.827,0.554,0.339,0.39,2,0,116.937,0.0758
neutral,0.569,0.552,0.466,0.942,7,1,104.982,0.0386
neutral,0.294,0.38,0.548,0.147,0,1,123.964,0.247
neutral,0.307,0.756,0.6,0.377,6,1,119.988,0.12
neutral,0.109,0.921,0.477,0,1,0,120.044,0.311
neutral,0.0543,0.777,0.661,0.188,1,0,130.051,0.0838
neutral,0.196,0.834,0.723,0.0058,8,0,115.014,0.494
neutral,0.0793,0.787,0.737,0.054,11,1,121.998,0.115
neutral,0.434,0.763,0.797,0.456,0,1,110.991,0.0545
neutral,0.0278,0.703,0.592,0.367,4,1,115.046,0.188
neutral,0.343,0.603,0.574,9.11e-05,4,1,117.961,0.0517
